,implementing_agency_name,numeric_year,country_name,dac_category_name,region_name,income_group_name,constant_amount
1,African Development Foundation,2001,Ghana,Other,Sub-Saharan Africa,Lower Middle Income Country,257278
2,African Development Foundation,2001,Guinea,Other,Sub-Saharan Africa,Low Income Country,599992
3,African Development Foundation,2001,Namibia,Other,Sub-Saharan Africa,Upper Middle Income Country,137461
5,African Development Foundation,2001,Nigeria,Other,Sub-Saharan Africa,Lower Middle Income Country,1027141
7,African Development Foundation,2001,Uganda,Other,Sub-Saharan Africa,Low Income Country,1330884
8,African Development Foundation,2002,Benin,Agriculture,Sub-Saharan Africa,Low Income Country,162517
9,African Development Foundation,2002,Benin,Economic Growth,Sub-Saharan Africa,Low Income Country,1019019
10,African Development Foundation,2002,Benin,Governance,Sub-Saharan Africa,Low Income Country,328566
11,African Development Foundation,2002,Botswana,Agriculture,Sub-Saharan Africa,Upper Middle Income Country,405862
13,African Development Foundation,2002,Ghana,Agriculture,Sub-Saharan Africa,Lower Middle Income Country,444304
14,African Development Foundation,2002,Ghana,Economic Growth,Sub-Saharan Africa,Lower Middle Income Country,1038025
16,African Development Foundation,2002,Ghana,Infrastructure,Sub-Saharan Africa,Lower Middle Income Country,316143
18,African Development Foundation,2002,Guinea,Economic Growth,Sub-Saharan Africa,Low Income Country,349318
19,African Development Foundation,2002,Mali,Agriculture,Sub-Saharan Africa,Low Income Country,253746
20,African Development Foundation,2002,Mali,Economic Growth,Sub-Saharan Africa,Low Income Country,731579
21,African Development Foundation,2002,Mali,Governance,Sub-Saharan Africa,Low Income Country,564456
22,African Development Foundation,2002,Mali,Health and Population,Sub-Saharan Africa,Low Income Country,264878
23,African Development Foundation,2002,Namibia,Agriculture,Sub-Saharan Africa,Upper Middle Income Country,300855
24,African Development Foundation,2002,Niger,Agriculture,Sub-Saharan Africa,Low Income Country,401540
25,African Development Foundation,2002,Niger,Economic Growth,Sub-Saharan Africa,Low Income Country,334197
26,African Development Foundation,2002,Niger,Governance,Sub-Saharan Africa,Low Income Country,149938
